date,flood_label,VV,VH,vv_vh_ratio,rainfall,soil_moisture,temp,wind,slope,forecast_rain_next_12h,ndwi,twi,upstream_vv,forecast_rain_72h
2017-06-01,1,-16.31,-23.76,0.6862,184.6,40.7,27.9,29.0,1.91,92.3,-0.1,17.185,-8.6,69.2
2017-07-15,1,-18.34,-24.98,0.7339,176.2,41.9,27.1,17.7,1.91,88.1,-0.1,17.185,-9.69,66.1
2017-08-10,1,-17.62,-24.37,0.7228,134.3,42.3,28.0,20.6,1.91,67.2,-0.1,17.185,-9.36,50.4
2017-09-05,0,-18.97,-25.01,0.7586,119.1,42.2,27.3,17.2,1.91,59.5,-0.1,17.185,-9.35,44.7
2018-04-15,1,-9.42,-15.28,0.6163,49.6,40.5,25.2,15.8,1.91,24.8,-0.1,17.185,-9.14,18.6
2018-05-20,1,-13.52,-20.63,0.6552,55.0,41.0,25.4,14.3,1.91,27.5,-0.1,17.185,-8.15,20.6
2018-06-01,1,-16.25,-23.98,0.6775,122.6,39.5,27.0,18.0,1.91,61.3,-0.1,17.185,-8.07,46.0
2018-07-20,0,-15.64,-24.43,0.6401,64.0,40.3,30.1,15.5,1.91,32.0,-0.1,17.185,-9.03,24.0
2019-05-20,1,-11.67,-20.32,0.5746,65.9,41.7,27.1,17.2,1.91,33.0,-0.1,17.185,-9.02,24.7
2019-06-10,1,-14.34,-23.83,0.6018,193.7,42.0,27.1,20.6,1.91,96.8,-0.1,17.185,-8.91,72.6
2019-07-05,0,-17.3,-25.18,0.6869,96.6,42.0,29.1,19.0,1.91,48.3,0.0399,17.185,-9.04,36.2
2019-08-15,0,-17.24,-25.34,0.6804,175.7,41.8,28.6,20.9,1.91,87.8,-0.1,17.185,-8.26,65.9
2020-07-10,0,-17.27,-23.69,0.729,178.4,42.2,28.0,26.1,1.91,89.2,-0.1,17.185,-9.27,66.9
2020-08-05,0,-19.04,-25.46,0.748,87.0,40.4,29.5,24.4,1.91,43.5,-0.1,17.185,-8.98,32.6
2020-09-15,0,-17.57,-25.1,0.7,114.4,41.9,27.7,10.9,1.91,57.2,-0.1,17.185,-8.08,42.9
2020-10-01,0,-18.62,-23.42,0.7951,137.6,41.9,27.6,16.8,1.91,68.8,-0.1,17.185,-8.98,51.6
2021-06-05,1,-11.97,-20.03,0.5974,159.6,41.0,27.4,14.5,1.91,79.8,-0.1,17.185,-7.42,59.8
2021-07-01,1,-16.09,-22.83,0.705,208.5,42.3,27.4,21.7,1.91,104.2,-0.1,17.185,-7.7,78.2
2021-08-10,1,-14.85,-22.07,0.673,96.5,41.6,28.6,16.2,1.91,48.2,-0.1,17.185,-9.17,36.2
2021-09-10,0,-16.26,-23.29,0.6981,45.3,41.2,29.5,20.3,1.91,22.6,0.1413,17.185,-8.02,17.0
2022-03-25,1,-11.77,-17.12,0.6875,14.6,14.9,26.2,20.2,1.91,7.3,-0.5924,17.185,-9.37,5.5
2022-04-20,1,-11.14,-17.17,0.6488,90.3,41.5,24.9,21.2,1.91,45.1,-0.1,17.185,-8.92,33.9
2022-05-15,1,-12.39,-20.4,0.6076,355.5,40.7,26.0,19.1,1.91,177.8,-0.1,17.185,-8.84,133.3
2022-06-05,0,-16.05,-24.04,0.6676,193.5,42.2,26.8,17.2,1.91,96.8,-0.1,17.185,-9.21,72.6
2023-04-18,0,-10.73,-16.3,0.6581,20.7,26.7,27.6,17.6,1.91,10.3,-0.5534,17.185,-9.21,7.8
2023-05-10,0,-9.22,-15.23,0.6052,52.6,35.9,27.2,19.0,1.91,26.3,-0.1,17.185,-9.04,19.7
2023-06-01,0,-9.23,-16.57,0.5571,44.6,38.2,28.1,16.9,1.91,22.3,-0.2806,17.185,-8.92,16.7
2023-07-01,1,-19.28,-26.41,0.7303,268.8,42.1,27.5,21.6,1.91,134.4,-0.1,17.185,-8.39,100.8
2024-05-12,1,-9.52,-16.93,0.5621,77.8,40.8,26.1,20.5,1.91,38.9,-0.1,17.185,-8.09,29.2
2024-06-01,1,-10.02,-18.49,0.5423,366.1,41.1,28.3,51.8,1.91,183.1,-0.2812,17.185,-7.89,137.3
2024-07-10,1,-20.63,-28.51,0.7238,108.6,42.3,28.1,15.5,1.91,54.3,-0.1,17.185,-7.35,40.7
2024-08-01,0,-22.17,-28.19,0.7864,145.0,40.8,29.6,22.2,1.91,72.5,-0.1,17.185,-7.67,54.4
2017-05-10,1,-24.42,-29.81,0.819,78.8,39.8,26.3,22.6,1.91,39.4,-0.1,17.185,-7.84,29.5
2018-03-20,1,-11.72,-17.39,0.674,22.8,29.2,23.4,17.1,1.91,11.4,-0.1,17.185,-7.96,8.5
2019-04-05,1,-10.12,-16.0,0.6324,110.5,33.9,24.0,22.2,1.91,55.2,-0.1,17.185,-7.97,41.4
2020-06-15,0,-16.76,-23.15,0.7238,118.9,41.3,28.2,14.8,1.91,59.5,-0.1,17.185,-8.68,44.6
2021-05-01,1,-10.41,-16.11,0.646,2.0,26.3,29.2,14.7,1.91,1.0,-0.4653,17.185,-8.64,0.8
2022-07-20,1,-18.17,-24.08,0.7543,163.8,41.2,29.6,15.4,1.91,81.9,0.3187,17.185,-8.05,61.4
2023-08-10,0,-16.45,-22.77,0.7226,236.3,42.5,27.6,18.1,1.91,118.2,-0.1,17.185,-7.94,88.6
2024-04-15,1,-10.71,-16.6,0.6448,1.1,31.3,27.2,16.5,1.91,0.6,-0.1,17.185,-7.8,0.4
