date,flood_label,VV,VH,vv_vh_ratio,rainfall,soil_moisture,temp,wind,slope,forecast_rain_next_12h,ndwi,twi,upstream_vv,forecast_rain_72h,data_quality,sar_real,ndwi_real,upstream_real,source,surma_discharge
2010-04-05,1,-15.0,-20.0,0.75,69.76,42.45,23.5,20.2,1.909,1.8,-0.1,17.185,-13.0,5.2,pre_sentinel1,False,False,False,Islam et al.2017 - pre-harvest flash flood 2010,27.17
2010-04-20,1,-15.0,-20.0,0.75,208.78,41.47,25.0,17.3,1.909,38.3,-0.1,17.185,-13.0,107.5,pre_sentinel1,False,False,False,Islam et al.2017 - pre-harvest flash flood 2010,41.52
2011-04-10,1,-15.0,-20.0,0.75,1.07,34.67,25.0,13.0,1.909,0.5,-0.1,17.185,-13.0,1.8,pre_sentinel1,False,False,False,Islam et al.2017 - pre-harvest flash flood 2011,17.07
2012-04-15,1,-15.0,-20.0,0.75,186.41,41.89,22.7,17.7,1.909,3.2,-0.1,17.185,-13.0,39.3,pre_sentinel1,False,False,False,Islam et al.2017 - pre-harvest flash flood 2012,20.15
2013-04-08,1,-15.0,-20.0,0.75,5.45,20.89,26.4,19.7,1.909,0.1,-0.1,17.185,-13.0,0.3,pre_sentinel1,False,False,False,Islam et al.2017 - pre-harvest flash flood 2013,13.78
2014-04-12,1,-15.0,-20.0,0.75,62.72,27.89,24.8,12.2,1.909,0.0,-0.1,17.185,-15.0,0.0,partial,False,False,False,Islam et al.2017 - pre-harvest flash flood 2014,13.99
2016-04-10,1,-11.8789,-17.3043,0.6865,98.71,41.57,24.6,14.0,1.909,1.1,-0.1,17.185,-8.1424,4.4,sar_only,True,False,True,Islam et al.2017 - pre-harvest flash flood 2016,23.67
2017-04-10,1,-17.1454,-25.0142,0.6854,50.14,41.94,23.7,24.7,1.909,1.8,-0.1,17.185,-9.5987,3.6,sar_only,True,False,True,Mondal et al.2021 - pre-harvest flash flood,80.94
2017-04-25,1,-15.0203,-24.0447,0.6247,207.06,41.42,23.7,30.2,1.909,29.5,-0.1,17.185,-9.0586,78.7,sar_only,True,False,True,"Mondal et al.2021 - 149,224 ha Boro damaged",91.78
2017-05-05,1,-18.8054,-23.6017,0.7968,72.48,39.94,26.3,22.6,1.909,10.6,-0.1,17.185,-9.3435,55.7,sar_only,True,False,True,Mondal et al.2021 - peak flash flood,93.05
2022-03-28,1,-12.2021,-17.6726,0.6905,0.74,23.18,25.3,20.2,1.909,4.5,-0.1,17.185,-8.9822,10.9,sar_only,True,False,True,Bhuiyan et al.2024 - pre-harvest flash flood,12.9
2022-04-10,1,-11.5551,-16.8718,0.6849,37.65,37.72,25.4,27.4,1.909,26.6,-0.1,17.185,-8.8502,123.5,sar_only,True,False,True,Bhuiyan et al.2024 - 2022 flash flood peak,14.8
2022-04-25,1,-11.551,-17.7864,0.6494,104.99,41.13,25.3,21.2,1.909,0.3,-0.1,17.185,-8.4502,24.1,sar_only,True,False,True,Bhuiyan et al.2024 - recurrent flash flood,22.02
2010-07-15,1,-15.0,-20.0,0.75,111.72,42.18,27.4,14.5,1.909,4.1,-0.1,17.185,-13.0,38.0,pre_sentinel1,False,False,False,FFWC Annual Report 2010 - monsoon flood,115.43
2010-08-10,1,-15.0,-20.0,0.75,89.42,41.14,28.5,11.7,1.909,4.0,-0.1,17.185,-13.0,57.7,pre_sentinel1,False,False,False,FFWC Annual Report 2010 - monsoon flood,96.79
2011-07-20,1,-15.0,-20.0,0.75,257.41,42.41,26.7,20.8,1.909,14.7,-0.1,17.185,-13.0,67.4,pre_sentinel1,False,False,False,FFWC Annual Report 2011 - monsoon flood,76.64
2011-08-15,1,-15.0,-20.0,0.75,284.38,42.37,25.9,20.9,1.909,14.9,-0.1,17.185,-13.0,97.7,pre_sentinel1,False,False,False,FFWC Annual Report 2011 - monsoon flood,83.16
2012-07-10,1,-15.0,-20.0,0.75,46.78,42.25,27.0,14.3,1.909,4.8,-0.1,17.185,-13.0,41.8,pre_sentinel1,False,False,False,FFWC Annual Report 2012 - monsoon flood,90.6
2012-08-05,1,-15.0,-20.0,0.75,120.73,42.0,27.0,17.2,1.909,14.8,-0.1,17.185,-13.0,94.3,pre_sentinel1,False,False,False,FFWC Annual Report 2012 - monsoon flood,89.37
2013-07-15,1,-15.0,-20.0,0.75,136.21,42.09,27.3,14.2,1.909,5.8,-0.1,17.185,-13.0,29.8,pre_sentinel1,False,False,False,FFWC Annual Report 2013 - monsoon flood,68.06
2014-07-10,1,-15.0,-20.0,0.75,300.17,42.23,27.3,14.5,1.909,1.1,-0.1,17.185,-15.0,20.3,partial,False,False,False,FFWC Annual Report 2014 - monsoon flood,88.88
2015-07-20,1,-19.0886,-22.9395,0.8321,427.28,42.64,25.8,15.9,1.909,21.2,-0.1,17.185,-6.2901,119.9,sar_only,True,False,True,FFWC Annual Report 2015 - monsoon flood,139.52
2015-08-10,1,-18.6207,-20.0,0.931,107.0,41.67,27.3,10.4,1.909,10.8,-0.1,17.185,-15.0,53.2,partial,False,False,False,FFWC Annual Report 2015 - monsoon flood,105.07
2016-07-15,1,-14.7816,-23.4382,0.6307,97.2,42.13,27.7,12.3,1.909,9.2,-0.1,17.185,-8.2071,74.0,sar_only,True,False,True,FFWC Annual Report 2016 - monsoon flood,85.16
2016-08-10,1,-20.2753,-25.7327,0.7879,153.58,41.69,27.8,17.0,1.909,12.4,-0.1,17.185,-7.7955,58.1,sar_only,True,False,True,FFWC Annual Report 2016 - monsoon flood,80.28
2017-07-01,1,-15.8771,-24.1126,0.6585,126.76,41.67,28.6,16.7,1.909,5.9,-0.1,17.185,-9.9228,135.4,sar_only,True,False,True,FFWC Annual Report 2017 - monsoon flood,97.3
2017-07-20,1,-20.38,-27.367,0.7447,125.16,40.55,28.5,16.8,1.909,19.1,-0.1,17.185,-9.3202,70.7,sar_only,True,False,True,FFWC Annual Report 2017 - monsoon flood,93.97
2017-08-10,1,-17.6188,-24.3742,0.7228,174.42,42.27,28.0,20.6,1.909,6.5,-0.1,17.185,-9.3556,177.3,sar_only,True,False,True,FFWC Annual Report 2017 - peak monsoon,99.2
2019-07-10,1,-16.7377,-25.7082,0.6511,190.02,42.31,28.1,19.8,1.909,19.3,-0.1,17.185,-7.1193,143.9,sar_only,True,False,True,FFWC records - monsoon flood,60.76
2019-07-25,1,-17.514,-26.541,0.6599,197.5,41.7,28.9,14.1,1.909,7.3,-0.1,17.185,-8.8858,39.0,sar_only,True,False,True,FFWC records - monsoon flood,84.86
2019-08-10,1,-16.0517,-24.9721,0.6428,78.44,40.83,29.4,19.9,1.909,2.1,0.0143,17.185,-8.9834,24.7,full_real,True,True,True,FFWC records - monsoon flood,72.25
2020-07-10,1,-17.2677,-23.6857,0.729,227.24,42.22,28.0,26.1,1.909,17.2,-0.1,17.185,-9.2715,117.3,sar_only,True,False,True,FFWC Annual Report 2020 - major flood,79.66
2020-07-25,1,-17.7358,-25.2821,0.7015,269.82,42.46,27.5,15.9,1.909,1.5,-0.1,17.185,-9.2879,22.6,sar_only,True,False,True,FFWC Annual Report 2020 - Google-BWDB data,90.87
2020-08-10,1,-19.6784,-25.7058,0.7655,60.53,40.83,29.7,24.4,1.909,4.5,0.1078,17.185,-8.5355,33.6,full_real,True,True,True,FFWC Annual Report 2020 - major flood,81.02
2020-09-01,1,-17.479,-24.6532,0.709,234.55,42.03,27.8,17.4,1.909,24.4,-0.1,17.185,-8.7706,50.4,sar_only,True,False,True,FFWC Annual Report 2020 - extended flood,81.8
2021-06-15,1,-14.0398,-21.9194,0.6405,121.75,41.23,28.4,15.7,1.909,6.5,-0.1,17.185,-8.4758,21.3,sar_only,True,False,True,FFWC records - monsoon flood,40.47
2021-07-10,1,-17.1097,-24.7905,0.6902,141.26,41.74,28.1,16.3,1.909,8.6,-0.1,17.185,-8.5304,44.8,sar_only,True,False,True,FFWC records - monsoon flood,74.34
2021-08-05,1,-15.0149,-23.3457,0.6432,106.25,41.8,28.1,20.3,1.909,3.1,-0.1,17.185,-8.2711,41.6,sar_only,True,False,True,FFWC records - monsoon flood,72.03
2022-06-15,1,-17.6184,-24.0763,0.7318,261.6,42.3,26.0,18.4,1.909,31.3,-0.1,17.185,-7.7558,222.9,sar_only,True,False,True,FFWC - 2022 monsoon higher than 2021,57.07
