date,flood_label,source,VV,VH,vv_vh_ratio,rainfall,soil_moisture,temp,wind,slope,twi,forecast_rain_next_12h,ndwi,upstream_vv,forecast_rain_72h,data_quality,temp_anomaly
2014-12-10,0,FFWC dry season,-13.21,-21.21,0.6228,0.2,14.9,20.2,1.0,1.91,17.185,0.0,-0.2671,-8.74,0.3,real_sar,0.11
2015-01-20,0,FFWC dry season,-10.35,-17.95,0.5766,0.2,17.0,18.3,0.5,1.91,17.185,0.0,-0.399,-9.53,0.4,real_sar,1.27
2015-02-15,0,FFWC dry season,-8.76,-16.4,0.5341,0.0,14.2,18.6,0.4,1.91,17.185,0.5,-0.5034,-9.74,1.4,real_sar,-0.75
2015-03-10,0,FFWC pre-monsoon dry,-10.83,-17.17,0.6308,0.7,22.6,20.5,1.7,1.91,17.185,0.0,-0.639,-9.48,0.0,real_sar,-1.54
2015-06-10,0,FFWC 2015 - early monsoon below threshold,-16.4,-23.57,0.6958,13.8,41.6,27.7,2.4,1.91,17.185,12.2,-0.1108,-7.15,65.3,real_sar,0.56
2016-01-15,0,FFWC dry season,-12.95,-21.94,0.5902,1.9,23.0,16.7,2.0,1.91,17.185,0.0,-0.2813,-8.5,0.0,real_sar,-0.33
2016-03-05,0,FFWC pre-monsoon dry,-10.49,-16.66,0.6297,0.5,24.0,22.4,1.8,1.91,17.185,0.3,-0.5926,-9.43,3.8,real_sar,0.36
2017-04-10,1,Mondal et al.2021 - pre-harvest flash flood,-17.15,-25.01,0.6857,49.9,41.9,22.9,4.5,1.91,17.185,1.8,-0.034,-9.6,11.6,real_sar,-1.93
2017-04-25,1,"Mondal et al.2021 - 149,224 ha Boro damaged",-15.02,-24.04,0.6248,75.2,41.4,23.2,3.7,1.91,17.185,29.5,-0.2267,-9.06,277.4,real_sar,-1.63
2017-05-05,1,Mondal et al.2021 - peak flash flood,-18.81,-23.6,0.797,7.3,39.9,25.9,1.5,1.91,17.185,10.6,-0.1714,-9.34,45.3,real_sar,0.55
2017-07-01,1,FFWC Annual Report 2017 - monsoon flood,-15.88,-24.11,0.6586,12.9,41.7,27.7,3.9,1.91,17.185,5.9,-0.0004,-9.92,61.4,real_sar,0.44
2017-07-20,1,FFWC Annual Report 2017 - monsoon flood,-20.38,-27.37,0.7446,22.1,40.5,28.1,2.9,1.91,17.185,19.1,0.1043,-9.32,107.8,real_sar,0.84
2017-08-10,1,FFWC Annual Report 2017 - peak monsoon,-17.62,-24.37,0.723,27.4,42.3,27.2,2.3,1.91,17.185,6.5,0.0181,-9.36,66.4,real_sar,-0.28
2017-12-15,0,FFWC dry season,-22.35,-28.46,0.7853,15.3,34.4,20.7,2.7,1.91,17.185,0.0,-0.1595,-7.61,2.0,real_sar,0.61
2018-01-20,0,FFWC dry season,-21.84,-28.25,0.7731,0.2,24.2,16.9,0.8,1.91,17.185,0.0,-0.2924,-7.98,0.0,real_sar,-0.13
2018-02-15,0,FFWC dry season,-10.13,-18.33,0.5526,0.1,16.2,19.6,0.5,1.91,17.185,0.0,-0.477,-9.54,0.0,real_sar,0.25
2018-03-10,0,FFWC pre-monsoon dry,-10.59,-16.93,0.6255,0.6,19.4,23.2,0.0,1.91,17.185,0.0,-0.6381,-8.73,0.0,real_sar,1.16
2018-04-20,1,FFWC 2018 - late April flash flood warning,-14.21,-20.25,0.7092,43.4,42.5,25.2,16.5,1.91,17.185,6.5,-0.4052,-19.67,21.7,real_sar,0.37
2018-05-10,0,FFWC 2018 - below average monsoon onset,-9.05,-17.28,0.5237,53.4,42.4,23.6,3.4,1.91,17.185,2.8,-0.2377,-9.41,176.1,real_sar,-1.75
2018-06-15,0,FFWC 2018 - low flood year,-15.35,-23.79,0.6452,30.8,41.9,27.3,0.7,1.91,17.185,20.1,-0.1791,-9.44,131.7,real_sar,0.16
2018-07-01,1,FFWC 2018 - below-average but real flood,-17.69,-24.38,0.7703,139.7,51.5,28.1,16.7,1.91,17.185,21.0,0.1192,-15.81,69.8,real_sar,0.84
2018-07-20,0,FFWC 2018 - below average flood,-15.64,-24.43,0.6402,8.2,40.3,29.0,2.9,1.91,17.185,3.4,-0.0754,-9.03,10.1,real_sar,1.74
2018-08-15,0,FFWC 2018 - below average flood,-15.93,-24.4,0.6529,10.0,40.6,27.6,3.7,1.91,17.185,15.9,-0.0912,-9.15,64.7,real_sar,0.12
2018-12-10,0,FFWC dry season,-15.03,-22.31,0.6737,0.0,17.2,18.9,1.0,1.91,17.185,0.0,-0.3202,-8.65,0.0,real_sar,-1.19
2019-01-15,0,FFWC dry season,-12.32,-21.13,0.5831,0.0,17.8,17.2,0.2,1.91,17.185,0.0,-0.3385,-8.83,0.0,real_sar,0.17
2019-02-20,0,FFWC dry season,-9.99,-17.53,0.5699,1.2,18.0,19.5,0.4,1.91,17.185,0.1,-0.5691,-7.7,9.5,real_sar,0.15
2019-03-15,0,FFWC pre-monsoon dry,-11.17,-17.39,0.6423,0.3,23.1,21.7,1.1,1.91,17.185,0.0,-0.6211,-8.3,1.1,real_sar,-0.34
2019-04-20,1,FFWC 2019 - pre-monsoon upstream barrage,-15.1,-21.41,0.6914,22.9,36.5,26.8,15.7,1.91,17.185,3.4,-0.3145,-20.86,11.4,real_sar,1.97
2019-07-10,1,FFWC records - monsoon flood,-16.74,-25.71,0.6511,28.9,42.3,27.1,6.1,1.91,17.185,19.3,-0.0368,-7.12,142.1,real_sar,-0.16
2019-07-25,1,FFWC records - monsoon flood,-17.51,-26.54,0.6598,16.2,41.7,28.1,0.4,1.91,17.185,7.3,0.0346,-8.89,73.8,real_sar,0.84
2019-08-10,1,FFWC records - monsoon flood,-16.05,-24.97,0.6428,9.9,40.8,28.4,5.6,1.91,17.185,2.1,-0.0589,-8.98,68.7,real_sar,0.92
2019-09-01,0,FFWC 2019 - post-monsoon recovery,-11.89,-18.34,0.6007,32.3,37.6,29.6,14.5,1.91,17.185,4.8,-0.3708,-11.31,16.1,real_sar,1.34
2019-12-10,0,FFWC dry season,-13.96,-22.09,0.632,0.0,21.6,19.5,1.4,1.91,17.185,0.1,-0.3198,-9.21,0.1,real_sar,-0.59
