event_id,date,flood_label,source,VV,VH,vv_vh_ratio,rainfall,soil_moisture,temp,wind,slope,twi,rain_24h,ndwi,upstream_vv,rain_96h,temp_anomaly
HFE001,2014-12-10,0,FFWC dry season,-13.21,-21.21,0.6228,0.2,14.9,20.2,1.0,1.91,17.185,0.0,-0.2671,-8.74,1.3,0.11
HFE002,2015-01-20,0,FFWC dry season,-10.35,-17.95,0.5766,0.2,17.0,18.3,0.5,1.91,17.185,0.0,-0.399,-9.53,1.5,1.27
HFE003,2015-02-15,0,FFWC dry season,-8.76,-16.4,0.5341,0.0,14.2,18.6,0.4,1.91,17.185,0.7,-0.5034,-9.74,0.9,-0.75
HFE004,2015-03-10,0,FFWC pre-monsoon dry,-10.83,-17.17,0.6308,0.7,22.6,20.5,1.7,1.91,17.185,0.0,-0.639,-9.48,0.0,-1.54
HFE005,2015-06-10,0,FFWC 2015 - early monsoon below threshold,-16.4,-23.57,0.6958,13.8,41.6,27.7,2.4,1.91,17.185,40.2,-0.1108,-7.15,102.9,0.56
HFE006,2016-01-15,0,FFWC dry season,-12.95,-21.94,0.5902,1.9,23.0,16.7,2.0,1.91,17.185,0.0,-0.2813,-8.5,0.2,-0.33
HFE007,2016-03-05,0,FFWC pre-monsoon dry,-10.49,-16.66,0.6297,0.5,24.0,22.4,1.8,1.91,17.185,1.0,-0.5926,-9.43,4.0,0.36
HFE008,2017-04-10,1,Mondal et al. 2019 - pre-harvest flash flood,-17.15,-25.01,0.6857,49.9,41.9,22.9,4.5,1.91,17.185,2.6,-0.034,-9.6,30.5,-1.93
HFE009,2017-04-25,1,"Mondal et al. 2019 - 149,224 ha Boro damaged",-15.02,-24.04,0.6248,75.2,41.4,23.2,3.7,1.91,17.185,45.2,-0.2267,-9.06,386.3,-1.63
HFE010,2017-05-05,1,Mondal et al. 2019 - peak flash flood,-18.81,-23.6,0.797,7.3,39.9,25.9,1.5,1.91,17.185,19.2,-0.1714,-9.34,28.1,0.55
HFE011,2017-07-01,1,FFWC Annual Report 2017 - monsoon flood,-15.88,-24.11,0.6586,12.9,41.7,27.7,3.9,1.91,17.185,52.0,-0.0004,-9.92,92.1,0.44
HFE012,2017-07-20,1,FFWC Annual Report 2017 - monsoon flood,-20.38,-27.37,0.7446,22.1,40.5,28.1,2.9,1.91,17.185,54.9,0.1043,-9.32,187.1,0.84
HFE013,2017-08-10,1,FFWC Annual Report 2017 - peak monsoon,-17.62,-24.37,0.723,27.4,42.3,27.2,2.3,1.91,17.185,60.4,0.0181,-9.36,151.1,-0.28
HFE014,2017-12-15,0,FFWC dry season,-22.35,-28.46,0.7853,15.3,34.4,20.7,2.7,1.91,17.185,0.1,-0.1595,-7.61,0.6,0.61
HFE015,2018-01-20,0,FFWC dry season,-21.84,-28.25,0.7731,0.2,24.2,16.9,0.8,1.91,17.185,0.2,-0.2924,-7.98,0.3,-0.13
HFE016,2018-02-15,0,FFWC dry season,-10.13,-18.33,0.5526,0.1,16.2,19.6,0.5,1.91,17.185,0.0,-0.477,-9.54,0.5,0.25
HFE017,2018-03-10,0,FFWC pre-monsoon dry,-10.59,-16.93,0.6255,0.6,19.4,23.2,0.0,1.91,17.185,0.0,-0.6381,-8.73,0.0,1.16
HFE018,2018-04-20,1,FFWC 2018 - late April flash flood warning,-10.02,-15.8,0.6342,13.8,40.6,24.6,2.6,1.91,17.185,26.9,,-8.82,82.6,-0.23
HFE019,2018-05-10,0,FFWC 2018 - below average monsoon onset,-9.05,-17.28,0.5237,53.4,42.4,23.6,3.4,1.91,17.185,18.5,-0.2377,-9.41,187.5,-1.75
HFE020,2018-06-15,0,FFWC 2018 - low flood year,-15.35,-23.79,0.6452,30.8,41.9,27.3,0.7,1.91,17.185,33.8,-0.1791,-9.44,212.6,0.16
HFE021,2018-07-01,1,FFWC 2018 - below-average but real flood,-16.85,-26.29,0.6409,16.6,41.9,26.9,2.7,1.91,17.185,21.5,,-9.27,63.3,-0.36
HFE022,2018-07-20,0,FFWC 2018 - below average flood,-15.64,-24.43,0.6402,8.2,40.3,29.0,2.9,1.91,17.185,25.2,-0.0754,-9.03,35.3,1.74
HFE023,2018-08-15,0,FFWC 2018 - below average flood,-15.93,-24.4,0.6529,10.0,40.6,27.6,3.7,1.91,17.185,30.4,-0.0912,-9.15,81.2,0.12
HFE024,2018-12-10,0,FFWC dry season,-15.03,-22.31,0.6737,0.0,17.2,18.9,1.0,1.91,17.185,0.0,-0.3202,-8.65,0.0,-1.19
HFE025,2019-01-15,0,FFWC dry season,-12.32,-21.13,0.5831,0.0,17.8,17.2,0.2,1.91,17.185,0.0,-0.3385,-8.83,0.0,0.17
HFE026,2019-02-20,0,FFWC dry season,-9.99,-17.53,0.5699,1.2,18.0,19.5,0.4,1.91,17.185,1.0,-0.5691,-7.7,8.8,0.15
HFE027,2019-03-15,0,FFWC pre-monsoon dry,-11.17,-17.39,0.6423,0.3,23.1,21.7,1.1,1.91,17.185,0.0,-0.6211,-8.3,1.6,-0.34
HFE028,2019-04-20,1,FFWC 2019 - pre-monsoon upstream barrage,-10.2,-16.42,0.6212,4.1,37.6,25.9,0.2,1.91,17.185,0.2,-0.4181,-7.88,6.3,1.07
HFE029,2019-07-10,1,FFWC records - monsoon flood,-16.74,-25.71,0.6511,28.9,42.3,27.1,6.1,1.91,17.185,52.5,-0.0368,-7.12,175.7,-0.16
HFE030,2019-07-25,1,FFWC records - monsoon flood,-17.51,-26.54,0.6598,16.2,41.7,28.1,0.4,1.91,17.185,22.2,0.0346,-8.89,79.7,0.84
HFE031,2019-08-10,1,FFWC records - monsoon flood,-16.05,-24.97,0.6428,9.9,40.8,28.4,5.6,1.91,17.185,7.0,-0.0589,-8.98,55.1,0.92
HFE032,2019-09-01,0,FFWC 2019 - post-monsoon recovery,-15.35,-23.36,0.6571,9.2,41.2,28.5,1.2,1.91,17.185,21.3,,-9.04,45.3,0.24
HFE033,2019-12-10,0,FFWC dry season,-13.96,-22.09,0.632,0.0,21.6,19.5,1.4,1.91,17.185,0.0,-0.3198,-9.21,0.0,-0.59
HFE034,2020-01-20,0,FFWC dry season,-12.83,-21.07,0.6089,0.1,18.4,18.5,0.4,1.91,17.185,0.5,-0.3419,-8.57,1.0,1.47
HFE035,2020-02-15,0,FFWC dry season,-10.08,-18.99,0.5308,0.0,15.3,18.4,0.5,1.91,17.185,0.2,-0.4537,-8.92,0.3,-0.95
HFE036,2020-03-10,0,FFWC pre-monsoon dry,-10.43,-17.31,0.6025,5.2,29.6,20.9,0.9,1.91,17.185,0.0,-0.6372,-8.68,8.6,-1.14
HFE037,2020-07-10,1,FFWC Annual Report 2020 - major flood,-17.27,-23.69,0.729,31.5,42.2,27.0,3.8,1.91,17.185,51.3,-0.0101,-9.27,146.0,-0.26
HFE038,2020-07-25,1,FFWC Annual Report 2020 - Google-BWDB data,-17.74,-25.28,0.7017,33.8,42.5,26.4,2.1,1.91,17.185,1.8,0.1015,-9.29,76.0,-0.86
HFE039,2020-08-10,1,FFWC Annual Report 2020 - major flood,-19.68,-25.71,0.7655,16.6,40.8,28.8,3.0,1.91,17.185,9.7,-0.0135,-8.54,53.1,1.32
HFE040,2020-09-01,1,FFWC Annual Report 2020 - extended flood,-17.48,-24.65,0.7091,21.7,42.0,27.1,3.3,1.91,17.185,32.6,0.1004,-8.77,85.9,-1.16
HFE041,2020-12-15,0,FFWC dry season,-13.73,-22.04,0.623,0.3,19.1,18.9,0.1,1.91,17.185,0.0,-0.2381,-9.04,0.2,-1.19
HFE042,2021-01-20,0,FFWC dry season,-12.12,-21.33,0.5682,0.1,14.5,16.8,0.4,1.91,17.185,4.6,-0.3233,-9.5,5.0,-0.23
